content,covid_final,other_final,covid,other,either
"ICYMI: Yesterday, @maggieslist1 endorsed my campaign to flip #AZ01. They are one of the largest conservative women's groups and I look forward to teaming up with them to take back the House and enact @realDonaldTrump’s America first agenda. #WomenForTrump
https://t.co/VlKCCqEGOS",0,0,False,False,False
#AZ01 sunset. https://t.co/2Jxl7hwIbR,0,0,False,False,False
RT @USSArizona: Keep the faith America. We have been through difficult times before. https://t.co/dd8w41jXSM,0,0,False,False,False
Together we will flatten the curve and defeat COVID-19. https://t.co/ddMpa180TN,0,0,False,False,False
Check out this tutorial by @JeromeAdamsMD on how to make your own how to make a face mask without any sewing. https://t.co/G8SA2LlDER,0,0,False,False,False
Congratulations to @kayleighmcenany on becoming the new White House press secretary! @realDonaldTrump continues to elevate strong conservative women. https://t.co/ZCGISeLvOu,0,0,False,False,False
Chag Sameach to all those celebrating Passover! I hope you have a meaningful and uplifting holiday. https://t.co/yRG6KqdU0h,0,0,False,False,False
"RT @HouseAgGOP: For up to date information regarding COVID-19 response efforts and the resources available to farmers, ranchers, and rural America visit
https://t.co/n6gjN6kGCe https://t.co/Yq9fOEBhaw",0,0,False,False,False
"RT @NikkiHaley: On this day, take a moment and contact the people you care about rather than blindly scrolling through social media. Whether it is a text, email, or call, let the people in your life know that you are thinking about them. It will warm your heart in the process. ❤️",0,0,False,False,False
RT @dougducey: Arizona notaries and signers can now take care of business via remote technology. Thank you @SecretaryHobbs for partnering to make this opportunity available — ahead of schedule. #COVID19 https://t.co/2yUhhJlPbO,0,0,False,False,False
"The level of danger at the border continues. Thank you Border Patrol for putting your safety on the line to keep us safe! 

https://t.co/DNIopy5zeS",0,0,False,False,False
RT @WhiteHouse: .@USDA will develop a plan to expedite aid to American farmers and keep our supply chain strong. https://t.co/v3h9uNf3lH,0,0,False,False,False
"RT @CongressmanGT: THANK YOU to our farm families who are feeding and fueling the nation. These men and women work 24/7, 365 days a year, and #COVID19 has our farmers putting in some serious overtime. No farmers, no food! #ThankAFarmer https://t.co/AGKYxfJiWy",0,0,False,False,False
RT @GOPLeader: RT to tell Democrats to stop playing politics with the pandemic.,0,0,False,False,False
"RT @maggieslist1: Tiffany Shedd is running for congress to implement conservative solutions to the problems Arizonans face because liberal politicians in Washington, DC have repeatedly ignored them.  https://t.co/OglWlTenYv https://t.co/40CYymZUSb",0,0,False,False,False
"RT @UDAMilk: Thank you for sharing our fundraiser! We've raised over $5,000 for hungry families to get milk at @UnitedFoodBank 😍 https://t.co/htuWXbdrmA",0,0,False,False,False
"RT @FLOTUS: It has been a joy to see children across America coloring these pages in the spirit of Easter.
Please continue to share your bright &amp; colorful eggs so we can continue spreading the cheer of the season. https://t.co/yZy1ueJUed https://t.co/JkQYoIHg0J",0,0,False,False,False
"From our family to yours we wish you a blessed Easter.  Let this day remind us of the eternal endurance of hope, joy and most of all love. https://t.co/ybTSMfJWUN",0,0,False,False,False
RT @CongressmanGT: Glad to see @USDA &amp; @usdaRMA stepping up to assist the dairy industry through market disruptions caused by the #COVID19 pandemic. Details ⬇️ https://t.co/ecFq87j3zi,0,0,False,False,False
Join my family in wishing our wonderful First Lady a very special happy birthday. Your name will be added to a one of a kind card made by my daughter who is Melania's #1 fan. https://t.co/Cem4HKQPbq https://t.co/N3ETX7MTtX,0,0,False,False,False
"Thank you @realDonaldTrump for keeping your word to the American people. Our southern border must be properly defended, and the Trump administration is taking action to do just that. https://t.co/JEQLJZdiTw",0,0,False,False,False
"RT @dougducey: The state is partnering with @uarizona to provide antibody tests for 250,000 health care professionals and first responders who are on the frontlines in the battle against #COVID19. https://t.co/mavO4BxDAg @UArizonaPres 1/",0,0,False,False,False
Another amazing place in AZ01 is Biosphere 2. Now you can visit it virtually. What a great event for learning at home. https://t.co/zkoinyAiUi,0,0,False,False,False
"Friends, I need your help to get on the ballot. If you haven't already, please take a moment to sign my petition online at the link below. #AZ02 https://t.co/m3AGLw5BFC",0,0,False,False,False
"@dougducey @honeywell Thank you, Governor Ducey for your leadership during this unprecedented time - and to Honeywell for stepping up for Arizona!",0,0,False,False,False
"With nearly half of our signatures collected online and already verified, I am happy to report we will be on the ballot! I’d like to thank everyone who signed my petition. Together, we’re going to beat Ann Kirkpatrick and take back our seat this November! #AZ02 https://t.co/PrzHUmVOKr",0,0,False,False,False
#HappyPassover to all our Jewish friends and neighbors who are beginning celebrations this evening! https://t.co/RQkJ8cpiIF,0,0,False,False,False
"I am wishing a blessed #GoodFriday today to all our Christian friends and neighbors. Soon, our sadness on this day will be overcome by the joy of Easter. https://t.co/sCNbhXWWrm",0,0,False,False,False
He Is Risen! #HappyEaster to all who are celebrating and worshipping today. https://t.co/zAjnr0CnI0,0,0,False,False,False
Reminder for taxpayers: The IRS has extended the federal tax filing deadline until July 15th as a result of the ongoing #COVID19 crisis. #TaxDay https://t.co/iiLyhhD7Zq,0,0,False,False,False
"Arizona has lost a giant with the passing of former Governor Jane Dee Hull. She will certainly be remembered as she wished, ""a straight shooter."" As a State Representative, Secretary of State, and finally Governor, Hull served our state admirably. https://t.co/0zDCesWJok",0,0,False,False,False
"Surprise, surprise! Lying communist #China hides actual #COVID19 data from the world. Why expect this bad actor to tell the truth? China has one goal: to secure power for itself & be the world leader. #MSM needs to stop peddling propaganda & undermining 
@POTUS
 
@realDonaldTrump",1,0,True,False,True
"RT @dougducey: Runoff from rain and snow across the mountains of central Arizona this year has filled reservoirs nearly to capacity along Verde and Salt rivers. Salt River Project’s system of reservoirs is now 98% full, the highest level since 2010.

 https://t.co/QHDn9hugtJ via @azcentral",0,0,False,False,False
Wishing everyone a blessed #PalmSunday https://t.co/rxqRTz3jb1,0,0,False,False,False
"Not in this country. This is a clear line. Government doesn't have the right to impede on your individual liberties. And neither does a multinational organization beholden to China. @WHO @realDonaldTrump @NRCC @NRA 
https://t.co/BXiW4sSPJf",1,0,True,False,True
"RT @realDonaldTrump: The W.H.O. really blew it. For some reason, funded largely by the United States, yet very China centric. We will be giving that a good look. Fortunately I rejected their advice on keeping our borders open to China early on. Why did they give us such a faulty recommendation?",1,0,True,False,True
"The #AmericanSpirit is alive and well in our country. Many great people in the #QuailCreek community. We're going to get through this together! @greenvalleynews 
https://t.co/7LWyEjLiWQ",0,0,False,False,False
RT @OANN: White House floats 4-8 weeks on economic recovery https://t.co/JxRlzklIpC via @YouTube @ChanelRion #OANN,0,0,False,False,False
".@BernieSanders #berns out! But socialism isn't going away.

Help me Keep America Great and Arizona Free! #KAG #AZFREE

Support my campaign here: https://t.co/ZFtt69OPEu

https://t.co/JyFrmKQfmt",0,0,False,False,False
Maybe NBC could report on the number of cremations in China over the last 3 months https://t.co/8tlOOX5kO2 https://t.co/2WfXv4mBp4,1,0,True,False,True
"RT @WhiteHouse: This teenage pilot-in-training is using his skills to deliver supplies to rural hospitals in Virginia—transporting 3,000 gloves, 1,000 head covers, 500 shoe covers, and more on a recent flight! ✈️  https://t.co/9JaxUMmerz",0,0,False,False,False
"Thank you, Mr. President -- Happy Easter to all! @POTUS #Easter https://t.co/2X4IXPsGZI",0,0,False,False,False
".@TheDemocrats and mainstream media claim ""everybody saw this coming in early January. Why didn't @POTUS act?""

Oh really? Roll the tape! https://t.co/1HEEVsGAiT",0,0,False,False,False
".@WHO covered up a pandemic. They are compromised and incapable of accountability. @POTUS @realDonaldTrump holds the lawless to account and saves taxpayers' money. @FoxNews 
https://t.co/CfpSVJd4cf",1,0,True,False,True
RT @WhiteHouse: President @realDonaldTrump is halting funding of the World Health Organization while a review is conducted to assess WHO's role in mismanaging the Coronavirus outbreak. https://t.co/jTrEf4WWj0,0,0,False,False,False
"Check out my interview with @CherylToddGFR from @GunFreedomRadio all about #2A 

#2ndAmendment 

Here's a clip...

Watch the full interview here: https://t.co/9DFBW6hFsh https://t.co/sqeB7JpGWr",0,0,False,False,False
"China waited six days to warn the world about the likely coronavirus pandemic. In other news, #China wants to export its #communist model to the world. No thanks!

We need to unite as a country behind @realDonaldTrump against this malicious regime. @GOP 
https://t.co/bQSiN1WJfQ",1,0,True,False,True
"I appreciate the support of our #Ranchers. Sections of new wall are going up as President Trump promised. Our Ranchers and @POTUS need a @GOP House to finish the job! #buildthewall #bordersecurity #USA

Can you help us WIN with a $5 donation? Donate here: https://t.co/p2ZeCgxyyn https://t.co/V3U3MyQ8fS",0,0,False,False,False
RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/NB3LRIZHI7,0,0,False,False,False
"Border security is national security.

Rancher John Ladd explains why he endorses Brandon Martin. @ArizonaBeef @azfb #azbeef #azranchers #securetheborder https://t.co/OsyAbKDo4Z",0,0,False,False,False
"RT @realDonaldTrump: .@FoxNews “Dems say President Trump is trying to open the United States Economy too quickly”, but, if I took even a little more time, they would loudly chant that I am moving too slowly. Just political talking points for them. For me it’s about lives &amp;  the future of our Country!",0,0,False,False,False
"RT @realDonaldTrump: In light of the attack from the Invisible Enemy, as well as the need to protect the jobs of our GREAT American Citizens, I will be signing an Executive Order to temporarily suspend immigration into the United States!",0,0,False,False,False
"Border security IS national security, especially in a crisis! We need to put our American citizens FIRST. https://t.co/4io1PsAVGh",0,0,False,False,False
RT @EricTrump: 🇺🇸🇺🇸🇺🇸 https://t.co/4F550CRmQT,0,0,False,False,False
Thank you .@realDonaldTrump for allowing our sailors to appropriately defend themselves when attacked. https://t.co/pZa38PovDj,0,0,False,False,False
"The world is waking up to China's deception. 

When will @TheDemocrats and @RepKirkpatrick?

https://t.co/Jsk5CtpJiW",1,0,True,False,True
"Martin Announces Plan to Revitalize US Economy in Wake of #Coronavirus with the Liberate the Economy &amp; American Paychecks (LEAP) Act 

Release: https://t.co/SmO9YmVFJM https://t.co/z4CNgsrHlx",0,0,False,False,False
"Virus or no virus, God calls on us to love all people with our heart, soul and strength (Mark 12:29-31)",0,0,False,False,False
RT @GOP: “Every single day we are one day closer to opening up America again.” -@Mike_Pence,0,0,False,False,False
"We believe it's important to reach out to the community because we know it's important to YOU. Thank you to the Arizona Range News​ for taking the time to discuss our U.S. House campaign for Arizona's 2nd Congressional District! @rangenews @AZGOP 

https://t.co/H3rCIfXKIQ",0,0,False,False,False
"I served the United States Army for 11 years, including a tour in Afghanistan. My brothers and sisters in arms deserve to have someone fighting for them in Washington. https://t.co/aDnFKGwrUV",0,0,False,False,False
RT @RepAndyBiggsAZ: Why not let us exercise ALL of our aspects of freedom safely? https://t.co/0pfrtIf0eI,0,0,False,False,False
RT @GOP: “The President has done such a great job protecting the health and safety of the American people.”-@parscale https://t.co/nkIc64pfYO,0,0,False,False,False
"There's only one Crystal Palace - and it's in Tombstone!

Kim Herrig is owner of the amazing Crystal Palace Saloon, a global tourist destination right here in #Tombstone #AZ

Please be sure to give them your business when things open up again. https://t.co/X76g29y8HO",0,0,False,False,False
".@cityoftucson is shut down, but that doesn't stop trash from piling up. Team Martin kicked off our Precinct Patrol in #UdallPark Saturday to help keep our city clean.

Limited gov't means individual responsibility, each doing our part so that gov't doesn't have to do everything. https://t.co/Z0sV4jRymJ",0,0,False,False,False
"Thank you for your work on behalf of the United States of America, @POTUS! The @WhiteHouse is working day and night to protect Americans and get the economy back to record levels of prosperity, thanks to @realDonaldTrump's pro-jobs &amp; American worker policies! #KeepAmericaGreat https://t.co/4lLgdCPXmO",0,0,False,False,False
"RT @realDonaldTrump: Happy Birthday to Melania, our great First Lady!",0,0,False,False,False
"RT @RepThomasMassie: Other members of Congress own cattle, but only a few of us RAISE cattle.

I fix the fences, feed the hay, castrate bulls, fertilize fields, put tags in their ears, move them between pastures, wean calves.

FOOD SHORTAGES ARE COMING.

USDA needs to acknowledge and respond now.",0,0,False,False,False
The Bible provides us with many scriptures on how to deal with crises and pain. What scriptures bring you comfort and guidance right now?,0,0,False,False,False
"RT @WhiteHouse: In Phase Two, employers should consider special accommodations for vulnerable populations, encourage telework whenever feasible, and close common areas where groups are more likely to gather. Non-essential travel can resume. 

https://t.co/gdCIY9wJP8 https://t.co/aQvp0XDX14",0,0,False,False,False
"1/ The much-anticipated #COVID19 Paycheck Protection Program loan and grant application is now available and it’s simple to fill out. Please visit the link below for the application and information on the program.
https://t.co/hP8qvV0qd6",0.0,0.0,False,False,False
"2/ This money will go quickly, so please take action to protect your employees today! Submit your application on 3 April to a local bank or credit union.",0.0,0.0,False,False,False
"Our Santa Clarita Valley virtual town hall is tonight! Join us at 6:45 for an opportunity to ask your questions, get updates on the issues of the day, and learn more about our campaign. Call (844) 353-2864 for more info! #TeamGarcia https://t.co/wFwn3jdyJe",0.0,0.0,False,False,False
Some quality family time at one of our local fav’s “Italia Panetteria and Delia” in Valencia https://t.co/byqYOxW5ZP,0.0,0.0,False,False,False
@RJB_Calif805 Absolutely.  We picked it up for take out and left.  We adhered to the social distancing requirements there.  It’s critical we try to support our local restaurants who are providing take out services.,0.0,0.0,False,False,False
"@SCVPizzaminati “Naval Aviator” if you prefer.   And I support equal rights for all Americans, including LGBTQ and both sexes.",0.0,0.0,False,False,False
"I don’t agree with Pelosi on much, but we find common ground on this. I’ve been calling to remove the SALT deduction cap for the past 3 years -- it unfairly hurts California taxpayers. Congress should take this up as a clean bill to give taxpayers relief.
https://t.co/GZCKfmbH1P",0,0,False,False,False
"As our region sees more infections from the coronavirus, we all must continue to do our part. We are here for each other and are all in this together. A special thank you to all of our healthcare professionals risking their lives to keep us safe. https://t.co/jSOnhZNeR1",0,0,False,False,False
"Huge thanks to the @USNavy.
Having the #USNSMercy up and running is a real help for our medical first responders! 
https://t.co/6LQCru2yUE",0,0,False,False,False
"In our current situation, international coordination to combat the coronavirus is essential. It's important to learn best practices from those governments who have most successfully responded to this health challenge. At the top of this list is Taiwan. https://t.co/YIWyqm2isP",0,0,False,False,False
The effectiveness of the Taiwanese response is all the more impressive given that it’s not a member of the World Health Organization. The world can learn from Taiwan.,0,0,False,False,False
"It’s impossible to predict when a crisis will strike. In the State Assembly, I co-authored a bill that would have made 3 mobile field hospitals ready for deployment in times like this. Let’s make sure we’re prepared for the next national emergency. https://t.co/rCb7YfU9SB",0,0,False,False,False
"COVID-19 testing sites are now open in LA County, including one at the Pomona Fairplex. Testing is by appointment only for residents of LA County who are at high-risk and most vulnerable. Please visit https://t.co/ij4kmN94wh for more information.",0,0,False,False,False
"While talking to people across #CA39 I have continued to receive questions about resources for families, businesses, how to give back &amp; so much more. To address these questions our campaign has put together an info page on our website. Check it out here: https://t.co/wY27RSeK4a https://t.co/DKSj9wMhjW",0,0,False,False,False
"If you are exposed to #COVID19 it's important to take the necessary precautions to avoid infecting the rest of your household:
1. Prepare in advance
2. Isolate 
3. Cover up and disinfect
4. Keep everyone else from getting sick
https://t.co/wjuVz2y4az",0,0,False,False,False
"Finding affordable housing in California is hard enough as it is. Adding the pressure of a global pandemic is bringing many California families to the breaking point. Thankfully, many banks are lending a hand.
https://t.co/gbsNCSbjYC",0,0,False,False,False
"We owe the volunteers stepping up to help our healthcare professionals a great deal of thanks. Your experience is invaluable in a time like this. 
Interested in volunteering &amp; have previous experience in medicine? Volunteer here ➡️ https://t.co/qNz1JIXqQp
https://t.co/9UY8FmeCW4",0,0,False,False,False
"In these turbulent times so many people in our community are hurting. Our local food banks need help more than ever. If you can, please consider supporting the organizations below.

https://t.co/7l6xp0MMV3 https://t.co/BNDhYelqcP https://t.co/n3RqI3CThs 
https://t.co/mWnvEgjw3D https://t.co/DA9wsuJXyM",0,0,False,False,False
"“During this uncertain and challenging time for all of us, I want to do what I can to help reassure the community that they are not alone.” Thank you Imran and Khan Saab Desi Craft Kitchen for supporting those in our community who need it most.
https://t.co/x1fosHRnWc",0,0,False,False,False
"Over the past few weeks, many individuals, businesses &amp; organizations have reached out looking to donate or receive supplies. Our campaign has worked to get thousand of masks, PPE &amp; other supplies to first responders, local hospitals, and those in need. https://t.co/qGya9a8omE",0,0,False,False,False
"If you or someone you know needs help connecting with an organization, hospital, or agency in order to donate supplies please reach out to us at info@youngkimforcongress.com. All of us doing our small part makes a difference for those impacted by this virus. #CA39",0,0,False,False,False
Wishing all our friends celebrating the beginning of Passover a happy holiday! I hope this time brings peace and joy to all.,0,0,False,False,False
"When so many are struggling, it's heartwarming to see our community come together.
https://t.co/CTOYYIN1mh",0,0,False,False,False
"OCIE SBDC has created a crisis hotline to provide no cost, direct support with disaster loan applications, cash flow concerns, recovering sales online, tax assistance and work sharing programs. All with the goal of keeping small business doors open.
https://t.co/FW2T3NTtXZ",0,0,False,False,False
"#ICYMI: We are facing something uniquely challenging with #COVID19 and learning from successful responses is essential. At the top of this list is Taiwan. Check out my full op-ed in the @EpochTimes 
https://t.co/INsPzoQU7j",0,0,False,False,False
"Our healthcare workers are fighting to keep us healthy, but shouldn’t have to do so without the proper protection. If you have any spare resources or medical supplies you can donate, consider helping hospitals here in Southern California.
https://t.co/UrU5WsDqhR",0,0,False,False,False
Charles &amp; I joined our fellow Rotarians today assembling face shields for our courageous frontline healthcare workers. Volunteers assembled thousands of masks. People are needed to assemble thousands more. If you are healthy &amp; interested please visit➡️ https://t.co/RvUMFQJKTl https://t.co/0yQzyRg8S5,0,0,False,False,False
"#HappyEaster! As Christians celebrate the resurrection of Jesus in this difficult season, I hope we can all encourage one another and choose to be a blessing to those around us. https://t.co/7VHRAwt71K",0,0,False,False,False
"To the truck drivers, grocery store employees, infrastructure workers, farmers, and everyone still going to work -- thank you for keeping our country moving forward while we fight #COVID19. https://t.co/uLwFxDocU6",0,0,False,False,False
"Congress and the President must come together now to get needed support to our families, businesses, and hospitals. This isn't a time for partisan bickering or score settling. Our community is hurting and we need leadership that puts people first. #CA39 https://t.co/tXLq66cYG5",0,0,False,False,False
"@csuf's dance team is adapting to the new normal by hosting online auditions! With resilience and determination, anything can be accomplished.

https://t.co/TAVe3dFpS2",0,0,False,False,False
"Our campaign is built to win and is continuing to gain momentum. Thank you to everyone that have donated, volunteered and supported us. #CA39 https://t.co/1TLabBdIEL",0,0,False,False,False
"So many jobs and families in #CA39 are at risk during this crisis. The people of Orange, LA &amp; San Bernardino Countys deserve swift bipartisan action that will address their needs. Our leaders must come together &amp; put people first.
https://t.co/GmpIyz5jsb",0,0,False,False,False
"Our campaign is built to win and is continuing to gain momentum. Thank you to everyone that has donated, volunteered and supported us. It's time to have a proven independent voice representing #CA39 and with your continued support we will. https://t.co/1TLabBdIEL",0,0,False,False,False
"Young Kim named as top Republican candidate after finishing ahead of incumbent Gil Cisneros in March primary election.

https://t.co/RvfgcCLQW8",0,0,False,False,False
"There is a critical need for blood donations during this coronavirus outbreak. Richard Nixon Library is hosting a blood drive tomorrow, April 16th and another one in May. Please considering donating if you can. https://t.co/fyOXX4SriO",0,0,False,False,False
I just joined Team Raths! Join Greg Raths and become a campaign co-pilot. Together we can elect an exceptionally qualified leader for Congress.,0.0,0.0,False,False,False
RT @michaeljknowles: 10 million Americans lost their jobs in two weeks because of China.,1.0,0.0,True,False,True
RT @FLOTUS: This evening @WhiteHouse is lit blue in honor of #WorldAutismAwarenessDay https://t.co/rFkGL2i6ME,0.0,0.0,False,False,False
Volunteers keep our community Mission Viejo Strong https://t.co/ALiRblWBls via @YouTube,0.0,0.0,False,False,False
"RT @USMC: Sixteen years ago, today, one of the most significant battles of the war in Iraq began – the Battle of Ramadi. https://t.co/466Y87YneH",0.0,0.0,False,False,False
RT @FLOTUS: https://t.co/3KXrAP0A35,0.0,0.0,False,False,False
Greg Raths for Congress - Quality Healthcare https://t.co/wPju3dS7C3 via @YouTube,0.0,0.0,False,False,False
Here are final results for primary election in Orange County https://t.co/zSUzaHyXJ5,0.0,0.0,False,False,False
"RT @USMC: Welcome aboard, Sir. https://t.co/n36Pgx12kl",0.0,0.0,False,False,False
"RT @USMC: #OTD in 1959, Marine Corps Lt. Col. John Glenn made history when @NASA announced his selection as one of the nation’s first seven astronauts. https://t.co/jlKhsCk0XN",0.0,0.0,False,False,False
"RT @millanpatterson: As we honor our nation’s former POW’s today, let us never forget the conditions they lived with, the cause they fought for, and the flag they stood for. God bless them! https://t.co/V5oHLGkL94",0.0,0.0,False,False,False
"RT @FLOTUS: As the CDC continues to study the spread of the COVID-19, they recommend people wear cloth face coverings in public settings where social distancing measures can be difficult to maintain. Remember, this does not replace the importance of social distancing. https://t.co/eF3o33CUVS",0.0,0.0,False,False,False
"RT @realDonaldTrump: On National Former Prisoner of War Recognition Day, we honor the more than 500,000 American warriors captured while protecting our way of life. We pay tribute to these Patriots for their unwavering and unrelenting spirit! https://t.co/KOI7Qd1pZx",0.0,0.0,False,False,False
"Federal Data: 16.4M Mail-In Ballots Went Missing in 2016, 2018 Elections https://t.co/JzZhJpXc6h via @BreitbartNews",0.0,0.0,False,False,False
New signs suggest coronavirus was in California far earlier than anyone knew https://t.co/eA3FPzTvJc,0.0,0.0,False,False,False
Democrats opt for blackmail over small-business money — and the media covers for them https://t.co/mwWNrFdpXo via @nypost,0.0,1.0,False,True,True
Nice language Congresswoman..... https://t.co/SGgyoiEbWG,0.0,0.0,False,False,False
U.S.A. For Africa - We Are the World (Official Video) https://t.co/sK8DgJPv3q via @YouTube,0.0,0.0,False,False,False
"Coronavirus: It’s politics as unusual this year, as office seekers face a real crisis https://t.co/BM4xxo2KRF",0.0,0.0,False,False,False
Happy Easter 2020. https://t.co/9BQPBMM5qz,0.0,0.0,False,False,False
Orange County cities urge county to give them a share of federal coronavirus relief funds https://t.co/VoD5Zj22KZ,0.0,0.0,False,False,False
Thank you https://t.co/0i3kZ5hxPE,0.0,0.0,False,False,False
Marines Bid ‘Phrog’ Farewell to Last Active CH-46E Sea Knight Squadron https://t.co/QhRw9NeQSU,0.0,0.0,False,False,False
"RT @charliekirk11: Why do you think Democrats are fighting so hard for Mail-In voting in November?

Because there's no way to verify someone's identity 

RT if we should implement NATIONAL Voter ID before the November election!",0.0,1.0,False,True,True
"""Dow futures rally more than 800 points after Gilead coronavirus drug reportedly shows effectiveness"" https://t.co/rJAB04Diz7",0.0,0.0,False,False,False
CA commissioner orders insurers to issue refunds to drivers amid coronavirus pandemic https://t.co/vd9rsX9deF via @abc7,0.0,0.0,False,False,False
“Bitchin’ Betty” Says Farewell: Beloved Voice Behind Boeing’s F/A-18 Sup... https://t.co/9m2tfF6WgT via @YouTube,0.0,0.0,False,False,False
"Job loss, anxiety, isolation: Coronavirus is a prescription for more opioid use https://t.co/IxRSO2IheK via @usatoday",0.0,0.0,False,False,False
Democrats need to stop holding small-business help hostage https://t.co/9SvYrgRFqj via @nypost,0.0,1.0,False,True,True
Experience of a lifetime:' Truck driver reacts to being saluted by Trump at White House https://t.co/Fsiz2jXvm7 #FoxNews,0.0,0.0,False,False,False
"RT @USMC: Gotta Blast

A Marine with Special Purpose Marine Air-Ground Task Force-Crisis Response-Africa 20.1, @usmcfea runs for cover during squad attack drills at Morón Air Base, Spain. https://t.co/acB0x2wQ9Y",0.0,0.0,False,False,False
RT @USMC: Marines prove they’re ready for anything after quick-thinking saves lives in #NewYorkCity. #COVID19 https://t.co/7MV3EI83IA,0.0,0.0,False,False,False
"Come on Sir, they all voted to impeach you and remove you from office....nothing will change from this group...time for a Republican House....Vote Right. Vote Raths!!! https://t.co/RpjnxMrkxr",0.0,0.0,False,False,False
"RT @realDonaldTrump: Great news, thank you! https://t.co/hp4TCZQW9r",0.0,0.0,False,False,False
"RT @L2ChangCA: Drive thru grocery distribution for seniors went smoothly. Thanks to @WALDBLASD  Great Khan's &amp; our local community partners for making this possible.

Note: We wore gloves/masks during the grocery distribution. Snapped this photo after we finished distributing the food. https://t.co/SZV8XaEjao",0.0,0.0,False,False,False
Texas will be the first state to reopen NEXT WEEK https://t.co/WnOnhSXa30 via @MailOnline,0.0,0.0,False,False,False
"RT @FLOTUS: Greetings to our American seniors. The changes in our everyday lives will not last forever &amp; we will be able to visit with our loved ones soon again. I encourage you to stay in touch, keep your spirits high &amp; remember, all of America is working together to keep you healthy &amp; safe https://t.co/AMlhzsRK4Q",0.0,0.0,False,False,False
RT @YoungKimCA: Today marks the third day that #CA39's small businesses have not had access to #PaycheckProtectionProgram loans. This is unacceptable. Every day that this continues our families and communities suffer more. https://t.co/9EccRjcGpG,0.0,0.0,False,False,False
"RT @realDonaldTrump: BRILLIANT, A MUST WATCH! @RepDanCrenshaw https://t.co/W6pGsJQ2ua",0.0,0.0,False,False,False
"I am a proud member of the Veterans of Foreign Wars of the United States.
@VFWHQ @vfw2070 @ocveterans @DeptVetAffairs @combatvets4cong @ConcernedVets https://t.co/HG8qrD4vJS",0.0,0.0,False,False,False
RT @ArenaPolitical: Ice cream may not taste so sweet for Pelosi for a while. https://t.co/mGv9KErnKG,0.0,0.0,False,False,False
"RT @realDonaldTrump: States are safely coming back. Our Country is starting to OPEN FOR BUSINESS again. Special care is, and always will be, given to our beloved seniors (except me!). Their lives will be better than ever...WE LOVE YOU ALL!",0.0,0.0,False,False,False
I just joined Team Raths! Join Greg Raths and become a campaign co-pilot. Together we can elect an exceptionally qualified leader for Congress.,0.0,0.0,False,False,False
"The #PaycheckProtectionProgram is giving small businesses a nearly $350 billion lifeline to keep workers employed, leases paid, and help navigate this crisis. 

https://t.co/l3SFuqGy3A",0,0,False,False,False
".@HBUHSD has announced long-distance learning will continue through the end of the school year. While this is not ideal, it is essential everyone proceed with necessary caution.

https://t.co/V9XEjjZdug",0,0,False,False,False
