ad_creative_body,covid_final,other_final,covid,other,either
Calling all conservatives! I need your help. My name is Shay Stautz and I am running as a conservative Republican to take on Ann Kirkpatrick and Nancy Pelosi in Arizona’s 2nd Congressional District. Will you please take a moment to sign my petition (on the Secretary of State’s Website) at the link below to make sure I am on the ballot?,0.0,0.0,False,False,False
"The Mission Viejo Rotary Club in conjunction with several area Rotary Clubs from District 5320 will be assembling face shields for our medical professionals this Saturday and Sunday at the Mission Viejo Murray Community Center from 1-5 pm. The assembly will include one person per table to assemble the shields. The tables with be at least 6 feet apart. You must be less than 60 years old to volunteer..

To sign up go to:
https://www.givsum.com/opportunities/rotary-project-shield

Thank you,
Greg Raths
Mission Viejo Club President",0.0,0.0,False,False,False
"Tiffany Shedd stands with President Trump and his effort to Build the Wall and protect our southern border. If you agree, add your name to our petition below  ⬇️",0.0,0.0,False,False,False
Tiffany Shedd is working to STOP illegal immigration and protect our country’s southern border. Are you with her? Add your name >>>,0.0,0.0,False,False,False
Tiffany Shedd is a lifelong supporter of the Second Amendment. Will you help her protect our right to keep and bear arms? Sign petition here ⬇️,0.0,1.0,False,True,True
"As a certified 4-H pistol and NRA shotgun coach, Tiffany Shedd will stop at nothing to preserve our Second Amendment rights. Fight back today 🇺🇸",0.0,0.0,False,False,False
Like my page if you stand with President Trump!,0.0,0.0,False,False,False
"Being a Republican in California is hard and running for Congress as a Republican is no easy feat. This is a MUST-WIN seat and right now we have the momentum to win, but it is going to take all of us working together to get across the finish line.

Can we count on your help to keep this fight going?",0.0,0.0,False,False,False
"We'll ask ER Medical Director Dr. Tony Martinez about the state of Central Texas and how the pandemic will impact your family. 
FB Live: donna imam 
Twitter: twitter.com/donnaimamtx",0.0,0.0,False,False,False
"Join me as I speak to ER Medical Director Dr. Tony Martinez about the state of Central Texas and what we can expect here. We'll discuss how the pandemic will impact your family. 
FB Live: donnaimam
Twitter: donnaimamtx",0.0,0.0,False,False,False
"With so many going through unprecedented hardship, we're asking folks that if you have a dollar or two, give them to a local nonprofit, give them to a local business, or a local restaurant. 

Those are the people that we need to help right now. If you have an extra dollar or two after that, please donate to our grassroots campaign: https://bit.ly/2WQMV13 

Now more than ever, we need to defeat Steve King.",0.0,0.0,False,False,False
Donna Imam US Congressional Candidate for Bell and Williamson Counties will go over what the $2 trillion dollar senate bill means for you and how it will impact Americans Donna will take questions and listen to your concerns. Open to everyone: Go to faceboo.com/donnaimam at 3PM to join.,0.0,0.0,False,False,False
"We need strong leaders with real experience. Jackie Gordon is a combat veteran, an educator, a public servant, and a community leader. Help send her to Congress! We need to raise $10,000 before the end-of-quarter deadline. Can you chip in $5, $10, $25 or whatever you are able to donate today?",0.0,0.0,False,False,False
"Jackie Gordon is a combat veteran, an educator, a public servant, and a community leader. She is exactly the type of leader we need in office RIGHT NOW! We know this race is winnable, but we need your help. Will you donate to Team Jackie today by contributing $5, $10, or whatever you are able to help Jackie before our end of quarter deadline?",0.0,0.0,False,False,False
"GOOD NEWS: Ammar is the official Democratic nominee in California’s 50th Congressional District! 
BAD NEWS: Republicans are determined to win this seat -- they’ve vowed to POUR money into the race to defeat us. 

To keep up our momentum and protect our campaign from Republican attacks, it’s CRITICAL that we hit every fundraising goal. But right now, we’re falling short of our $85,000 weekly goal -- and we need your help. Chip in $5 →",0.0,0.0,False,False,False
"[URGENT] Critical End of Quarter fundraising deadline approaching!

W
e are just DAYS away from the FIRST End of Quarter fundraising deadline of the general election. And right now we’re falling short of our $250,000 goal. But here’s some good news: if everyone reading this right now chipped in just $5, we’d be back on track. So what are you waiting for? Rush $5 to elect Ammar and flip this seat BLUE in November!",0.0,0.0,False,False,False
"[URGENT] Critical End of Quarter fundraising deadline approaching!

We are just DAYS away from the FIRST End of Quarter fundraising deadline of the general election. And right now we’re falling short of our $250,000 goal. But here’s some good news: if everyone reading this right now chipped in just $5, we’d be back on track. So what are you waiting for? Rush $5 to elect Ammar and flip this seat BLUE in November!",0.0,0.0,False,False,False
"We are just DAYS away from the FIRST End of Quarter fundraising deadline of the general election. And right now we’re falling short of our $250,000 goal. But here’s some good news: if everyone reading this right now chipped in just $5, we’d be back on track. So what are you waiting for? Rush $5 to elect Ammar and flip this seat BLUE in November!",0.0,0.0,False,False,False
"NEWS: Ammar made it through the primary and he is officially our Democratic nominee! But now we have a tough general election fight ahead of us, and we can’t slow down for a second. The momentum is on our side -- so we set an ambitious End of Quarter fundraising goal of $250,000 before MIDNIGHT on March 31st. 

It’s a lofty goal -- but we know that with the support of grassroots donors (like you!) we can make it. Please, rush a $5 donation →",0.0,0.0,False,False,False
"🚨 First Fundraising Deadline of the general election is approaching! 🚨

Ammar made it through the primary, but now we have a TOUGH general election ahead of us. Republicans are vowing to POUR money into this race to keep the seat red! So we set an ambitious End of Quarter fundraising goal to give us the momentum we need to WIN in November. But right now, we’re falling behind -- and honestly, we will miss this goal unless grassroots supporters, like you, step up TODAY. Rush a $5 donation to elect Ammar right now→",0.0,0.0,False,False,False
"After learning about the seriousness of the impending coronavirus outbreak, Senator Kelly Loeffler moved to protect her wealth instead of warning Americans about the threat.

We need to end corruption in Washington. Chip in to help me in this fight.",0.0,0.0,False,False,False
"In these uncertain times, the issues our campaign has always been about — health care, taking care of working families — have become more important than ever.

We are up against the FEC fundraising deadline. Please donate what you can before March 31st.",0.0,0.0,False,False,False
"We are the Democratic women running to flip our Republican held seats in Ohio. We may be working to flip different districts, but our objective is the same: To go to Washington and to fight for hard-working families.

In these uncertain times, it’s more important than ever for us to unite for the greater good -- and for us, that means coming together for Ohio and our country. Please donate today so we can keep up the fight.",0.0,0.0,False,False,False
"Join J.D. Scholten for a virtual town hall about the COVID-19 pandemic, its effect on rural communities, and policy solutions.",0.0,0.0,False,False,False
"Fantastic News!! Eric Hanke, primary candidate for TX31 is joining us with his 🎸 🎶 to make sure we flip this district blue. Thank you for your support Eric, let's do this!",0.0,0.0,False,False,False
"The Board of Elections has made some changes to polling locations ahead of Tuesday’s Primary Election. Click to learn more about potential changes to  your polling location, and how you can still vote early.»",0.0,0.0,False,False,False
"In light of the recent developments around the coronavirus, I’m sharing some actions Congress must take immediately to keep us safe, as well as some quick prevention tips for all of us. 

I encourage everyone to review the CDC guidelines for prevention. For local updates on how to recognize and prevent the spread of COVID-19 visit cincinnati-oh.gov/covid19

For real-time updates on COVID-19: Text cincycovid19 to 77295

Hotline for questions and concerns: Call 1-833-427-5634",0.0,0.0,False,False,False
Fantastic news!! Dan Janjigian primary candidate for TX31 is going to help us flip this district blue. Thank you so much for your support Dan. Let's do this!,0.0,0.0,False,False,False
"Women’s History Month, by the numbers: 
✅100: This year is the 100th anniversary of women’s right to vote
✅ 39: The number of representatives OH-01 has sent to Congress
✅ 0: The number of female representatives OH-01 has sent to Congress
✅21: The average pay gap in this country. On average, women earn $0.79 to every man’s $1. 

And we can change those numbers -- it’s far-beyond time to change the face of Cincinnati’s leadership. Join me today and chip in $21 -  in honor of all the women fighting in this country to change the status quo.",0.0,0.0,False,False,False
"March is Women’s History Month, and 2020 is an opportunity to make Women’s History right here in Ohio’s First District. Since it was created in 1813, our district has been represented in Congress by 39 men and… Zero women. 

We have waited far too long to send a woman to fight for us in Congress. In honor of the month, and our girls, I’m asking you to donate $21 to our campaign -- to represent the average 21-cent pay gap women in this country still face, and the fight I’m ready to wage in Washington to change that.»",0.0,0.0,False,False,False
"Mother Jones just asked, ""Is this the year Democrats finally take down Steve King?""

This is definitely the year we beat Steve King -- but only if folks like you keep backing J.D. Scholten. 

Chip in now: https://bit.ly/3aotoII",0.0,0.0,False,False,False
"When your Representative in Congress casts a vote, the only thing that should matter is how it will impact you. But when candidates take massive donations from shady corporate PACs, it’s impossible to trust they’ve got our best interests at heart. 

Ammar Campa-Najjar is running a different kind of campaign. He’s not taking a DIME of corporate PAC money. And he’s fighting to get Big Money out of politics once and for all. Learn more about Ammar →",0.0,1.0,False,True,True
"Election Day in California is on Tuesday, March 3rd and we’re expecting historic turnout! And the stakes couldn’t be higher. Democrat Ammar Campa-Najjar is running in a competitive primary and he needs your help. This race could come down to just a handful of votes, so don’t wait → find your polling place and make a plan to vote now!",0.0,0.0,False,False,False
"California’s primary is fast approaching on Tuesday, March 3rd. This is your chance to make your voice heard -- and the stakes couldn’t be higher. Democrat Ammar Campa-Najjar is running in a competitive primary and he needs your help. This race could come down to just a handful of votes, so don’t wait → find your polling place and make a plan to vote now!",0.0,0.0,False,False,False
Join J.D. Scholten to celebrate getting back on the ballot to defeat Steve King and serve Iowa's 4th congressional district!,0.0,0.0,False,False,False
"District 13 Town hall hosted by Democratic Candidate Scott Huffman - come out, ask questions and enjoy light refreshments.",0.0,0.0,False,False,False
Come out to the Rowan County Democrats March Breakfast.  Breakfast will be catered by fellow Democrats from across the county. Scott will be the key note speaker for the event,0.0,0.0,False,False,False
Keep Calm and ✅ VOTE DONNA IMAM!,0.0,0.0,False,False,False
"Ammar Campa-Najjar is fed up with politicians looking down on the people he’s looked up to his whole life -- the real, hardworking men and women of this community. Born in East County and growing up in the working class, he knows how hard we work just to make ends meet. He’s running for Congress to give control back to the people. It’s time we rebuilt the middle class, lowered the costs of health care, and paid workers a fair wage. Learn more about Ammar Campa-Najjar→",0.0,1.0,False,True,True
"It’s not just a couple bad apples in Washington, it’s the barrel that’s rotten.

Ammar Campa-Najjar just went on KUSI News to share his bold government reform plan to take on corruption in Washington. He’s the ONLY candidate in this race who’s not taking money from corporate PACs -- and he has a plan for restoring power to the people! We need a Congressman like Ammar who’s willing to rein in members of Congress and give voice to the hardworking Americans who are struggling just to get by. 

Watch the video to learn why Ammar Campa-Najjar is the best choice for our community →",0.0,1.0,False,True,True
"It’s not right: Big health insurance companies are raking in record profits at the expense of  our families who are reeling from skyrocketing costs. Ammar Campa-Najjar wants to take on insurance companies, protect patients with pre-existing conditions, lower costs, and put the future of our health care options in the hands of the people, not out-of-touch politicians and wealthy executives. Together, we can take back control and make health care affordable and accessible for everyone. Learn more about Ammar’s health care plan →",0.0,1.0,False,True,True
"I am fed up with politicians looking down on the people I’ve looked up to my whole life -- the real, hardworking men and women of this community. I was born in East County and grew up in the working class. I know how hard folks here work just to make ends meet. It’s time we have a representative who will stand up for US in Congress. Click below to learn more about our campaign →",0.0,1.0,False,True,True
"The Primary Election on March 3rd is rapidly approaching and already we’ve seen HISTORIC turnout from California voters. Many of your neighbors have already voted or made plans to vote, but we want to make sure you’re voting too. Making a plan to vote only takes seconds → click below to get started, and don’t forget to vote for Democrat Ammar Campa-Najjar",0.0,0.0,False,False,False
"Today is Election Day in California! It’s time to make your voice heard -- and the stakes couldn’t be higher RIGHT NOW. Democrat Ammar Campa-Najjar is running in a competitive primary and he needs your help. This race could come down to just a handful of votes, so don’t wait → confirm your polling location for in-person voting or the closest drop-off for returning your vote by mail ballot.",0.0,0.0,False,False,False
"URGENT: Our next critical fundraising deadline is approaching and we need to post BIG numbers! If we don’t, we could be completely drowned out by Republican money POURING into this race. We can’t let that happen. Please, chip in whatever you can afford to help us flip this critical Republican seat.",0.0,1.0,False,True,True
"It’s here! Primary Month! Every door knocked, every hand shaken, and every dollar given to this campaign has come down to this first, big test.

We’re down to the FINAL moments before Cincinnatians cast their ballots on March 17th -- can we count on you to make an impact today?",0.0,0.0,False,False,False
"The 🍀Primary Election is almost here! 

With just days to go before our campaign’s biggest test yet -- we’re working hard to spread our message and vision for Ohio’s First District, but we can’t do it without the incredible enthusiasm of our grassroots supporters. Please chip in $5, $10, or even $20.20 -- so our momentum is strong to power us through March 17th → November 2nd → Washington DC!",0.0,0.0,False,False,False
"Sean Casten and the Democrats want to move our elections to voting by mail, creating even more fraud and abuse. We cannot let them undermine our democracy like this.",0.0,1.0,False,True,True
"During this unprecedented crisis, Sean Casten keeps making it all about politics and he keeps trying to divide us. This crisis has brought out the very worst in Sean and Illinois can’t afford to let him keep failing us like this.",0.0,0.0,False,False,False
Help this Illinois Republican win!,0.0,0.0,False,False,False
"I am the Pro-life, Pro 2nd amendment Constitutional Conservative Republican running for Kansas Congressional District 3. Please enjoy this short Ad and consider giving to my campaign. Thank you and have a great day. https://secure.anedot.com/committee-to-elect-mike-beehler/donate",0.0,0.0,False,False,False
A timeline of Sean Casten's response to the COVID-19 Crisis.,0.0,0.0,False,False,False
Help Esther get to Washington to take on Pelosi and the Radical Left!,0.0,0.0,False,False,False
"When Illinoisans needed help, Sean Casten turned his back on us to benefit himself. He tried to get millions of our tax dollars for green energy companies that he’s invested in, and that’s just wrong.#AllIn4Ives",0.0,1.0,False,True,True
"Sean Casten and the Democrats used the CARES Act to try and advance their radical agenda. They held up emergency relief to pack the bill with billions of your tax dollars for their pet projects.
#AllIn4Ives",1.0,0.0,True,False,True
"When Rep. Sean Casten (IL-06) said his top priorities are, “Climate Change, Climate Change and Climate Change,” he wasn’t joking. In the heat of negotiations over the COVID-19 emergency relief bill, Casten didn’t stand up for the small business owners in Downtown Wheaton, Downers Grove, or Palatine who were just weeks from going out of business. He didn’t stand up for unemployed workers in Algonquin or Barrington who had no idea how they would pay their rent or mortgage on April 1. And he didn’t use his time composing a letter on behalf of minimum wage workers throughout the district struggling to pay their bills.

Instead, on March 20, Casten and 8 other US Representatives signed a letter to Nancy Pelosi and House leaders (pictured below) pushing for additional special subsidies and tax deals for the Green Energy industry – a sector that is already heavily subsidized. To be clear, there was already relief in the COVID-19 emergency bill for the essential services mentioned in the letter. Casten and his associates were asking for additional carve-outs and credits for their pet projects. 

More importantly, it is a sector in which Sean Casten is personally invested, via a company called Greenleaf Power, LLC. According to a RollCall.com article, “The company that operates the Plainfield facility for Greenleaf sells electricity and renewable-energy credits.” By virtue of extending those credits, Greenleaf and its investors would profit.",1.0,0.0,True,False,True
"For Immediate Release: 

In the midst of the  COVID-19 pandemic, Rep. Sean Casten (IL-06) released a series of attacks on his political opponents.

Ives, on the other hand, is focused on the nation’s problem-solving, independent spirit. It is that spirit that has seen America through crisis before, and will again. 

This morning, she released a new digital ad Lives On, which illustrates her campaign theme: that Americans have the ingenuity, compassion and grit to solve even our toughest challenges by working together.",0.0,0.0,False,False,False
"https://www.nytimes.com/2014/04/21/us/from-private-ordeal-to-national-fight-the-case-of-terri-schiavo.html

March 31st was the fifteen year anniversary of the starvation and dehydration death of Terri Schiavo. Terri’s tragic case was national news for many days as Americans watched her slowly die in a St. Petersburg, FL hospital. Terri, age 42, was in a long-term vegetative state, but could respond to people. Her loving parents and brother vigorously attempted to take her home and care for her, but her husband claimed that she would have preferred to, in fact, die. Challenged in court several times, Florida law repeatedly gave the husband the legal authority to act on behalf of his disabled wife. The Florida Legislature and the US Congress both acted passing laws to protect Terri, but the courts over-ruled them.

America watched and waited. With each passing day, Terri got weaker and weaker from lack of food and water. Finally, Terri’s weakened body succumbed and her devoted family buried their daughter and sister knowing the pain and suffering she endured in her final days.  

Being pro-life means standing up for those that cannot stand up for themselves, from conception through natural death. This was voted on in the United States Congress and all of America watched. I would have voted in Congress to save Terri.

Mike Beehler will be your PRO-LIFE CHAMPION.",0.0,1.0,False,True,True
"When this epidemic first began, The People’s Republic of China was at the center of the outbreak. But instead of being transparent with the rest of the globe about the spread of the virus, the Chinese government lied to the world, resulting in a global outbreak and scores of needless deaths. Aside from greatly diminishing our reliance on Chinese goods, the United States needs specific legislation holding China accountable for the agony they’ve wreaked on our nation and on the world.",1.0,0.0,True,False,True
Join Our Campaign Today,0.0,0.0,False,False,False
"Most say Washington is too far gone. Overreaching. Overspending. Playing games. But, we can be the difference America needs. It’s just going to take a little heart.",0.0,0.0,False,False,False
"In times of trouble it is fundamental to have leaders that produce results! I have worked with Governor Brian Kemp and Lt. Governor Geoff Duncan to cut regulations and create jobs for thousands of hardworking citizens. After this crisis has passed, we will get Georgia back on its feet.",0.0,0.0,False,False,False
"I know it is a trying time for us all - but I truly believe that if we band together as builders and believers, that we will pull through this together, stronger than ever.",0.0,0.0,False,False,False
"Democrats used the COVID-19 relief bill meant to help millions of suffering Americans to further their own agenda.
 
Sign if you agree radical liberals like Sharice Davids and Nancy Pelosi need to stop the politics and start focusing on the needs of the American people.",1.0,0.0,True,False,True
"Please visit my website to learn more about an ""Equal Opportunity for the American Dream.""",0.0,0.0,False,False,False
"Having been involved in helping small business owners, I know the hardships that millions of Americans are currently facing. Thankfully, President Donald J. Trump and Governor Brian Kemp have acted quickly to facilitate Small Business Loans for anyone who needs them. It can seem daunting, but I am here to help. Need advice for your small business or on how to apply for these loans? Reach out to me and I will help! Our community must stand together during times like these.",0.0,0.0,False,False,False
"Mondays with Mike Beehler - Never before has infrastructure and innovation been so important. As we deal with COVID-19, we have seen many heroes - particularly the amazing healthcare workers and front-line staff. But also behind the scenes -- The U.S. Army Corps of Engineers. Creating hundreds of alternative care facilities. Thousands of new hospital beds and access to life-saving treatment for patients. Converting dorms and hotels to make-shift hospitals. Doing whatever it takes to save lives! 

After this crisis is over, we will need a leader in Congress with VISION and who can get the job done. As an engineer for nearly 40 years, I've spent my entire adult life working with world-class and emerging technology and was engaged in some of the largest electrical grid projects in the country. I have the passion to work with people on complex issues in order to meet the biggest challenges. As your congressman, it will be my mission to rebuild our local economy here in KS03 and facilitate growth beyond your wildest imagination. We will be stronger than ever before! - Mike Beehler for Congress KS03",0.0,0.0,False,False,False
"Last week Democrats voted down and delayed the emergency relief bill that gives critical aid to our families and small businesses. It’s because Sean Casten and the Democrats wanted to waste your tax dollars on things like green energy handouts which have nothing to do with the Coronavirus.
#AllIn4Ives",0.0,0.0,False,False,False
"We’ve gotten a lot of questions about how our supporters can help so I’m asking you to share this post with your friends.
#AllIn4Ives",0.0,0.0,False,False,False
"Americans are finding solutions in crisis. We expect our elected officials to do the same. Instead, Sean Casten is stoking anger, fear, division and bitterness. The people of the Sixth District deserve better.",0.0,1.0,False,True,True
In this uncertain time it is critical that we give back to our communities. Volunteers and donations are needed in Georgia now more than ever. Shuntel and I have decided to give to the Cherokee Boys & Girls Club in an effort to beat this terrible virus!,0.0,0.0,False,False,False
"FOR IMMEDIATE RELEASE

 In a Twitter rant this morning, Rep. Sean Casten (IL-06) accuses almost everyone for making the COVID-19 crisis worse. In the thread, he casts blame on the President, the media, social media platforms, social media users, and - despite repeatedly claiming his rant was non-political - Republicans, the Koch Brothers and the NRA. 

“These tweets are appalling. Blaming the world for problems instead of working to solve them shows us Sean Casten’s true character,” said Jeanne Ives, Republican nominee for Congress (IL-06) “Over the past two weeks, we have seen families and neighbors finding new and creative ways to look out for each other. I have talked with business owners in anguish  - not over their own circumstances, but over the uncertainty their employees are now faced with. We have seen doctors, nurses and infectious disease experts working overtime to help meet the needs in their communities. 

“People are working together to find solutions that will make life better, and to make the best of an unprecedented and stressful situation. We expect our elected representatives to do the same. But, in a moment that leaders should be using their platforms to promote solutions and safety, Sean Casten stokes anger, fear, division and bitterness. Capitalizing on a crisis is a cynical political move. The people of the Sixth District deserve better - and are better - than this.” 

###",1.0,0.0,True,False,True
"It is important to me to understand how government decisions impact different constituencies. 

We have talked on FB Live with many of you about how you are handling the Coronavirus shut down at home. We will continue those conversations over the coming days and weeks. 

I wanted to know what small business owners are experiencing, so I talked to Frank Trilla, Mayor of Willowbrook and owner of four businesses. We stayed six feet apart. 

As we talked, it became very clear that Frank's number one concern was for his employees. Please take a minute to watch!",0.0,0.0,False,False,False
"While we may not be out travelling across the 6th District to meet voters right now, we are still doing everything we can to share our message. We’ve gotten a lot of questions about how our supporters can help so I’m asking you to share this post with your friends.
#AllIn4Ives",0.0,0.0,False,False,False
"It's completely out of line that the media is pushing back on airing President Donald J. Trump in the middle of a nationwide crisis! Now more than ever the American people need the leadership of our president, but instead news outlets are blocking critical information to gain political points.",0.0,1.0,False,True,True
"Democrats are holding up relief for the American economy to sneak in their radical agenda.
- 3: Special carve-outs for special interests
- 1: Job killing emissions mandates
- 2: Dictating the boards of private companies
- 3: Special carve outs for special interests
 
We are in the middle of the COVID-19 crisis. America needs real relief NOW. Tell Sharice Davids to stop the politics and do what’s right for the country and Kansas.",1.0,0.0,True,False,True
"Come and hear more about Mike Beehler and why he is running for US Congress. Ask questions, engage with other voters. Tuesday, Thursday, and Saturday! Live stream will appear on our homepage right at 7 pm.",0.0,0.0,False,False,False
"With more than 15 years as a business executive in healthcare and information technology, I know firsthand how hard healthcare professionals work. This is why I am doing everything I can to show my support for those on the front lines of the current health pandemic. Will you join me in showing your appreciation for all the brave doctors, nurses and all providers on the front lines of community health by signing our thank you card?",0.0,0.0,False,False,False
Join Jeanne to discuss the details of Nancy Pelosi’s COVID-19 Emergency Relief Hostage Negotiations.,1.0,0.0,True,False,True
"Sean Casten doesn’t let an economic crisis go to waste. In the 2008-09 economic crisis, he lobbied for special energy tax credits for his own company, when he also worked as a registered federal lobbyist, and secured millions in tax incentives from the American Reinvestment and Recovery Act.

Now, he is using this crisis to ask for more tax credits for an industry that already receives preferential treatment through renewable portfolio mandates and state and federal tax incentives.",0.0,0.0,False,False,False
"My name is Mike Beehler, and I’m a proud (LIFE) member of the National Rifle Association and the Kansas State Rifle Association. And, I approve of this message!",0.0,0.0,False,False,False
I'm honored to have the opportunity to speak with Major General John Borling this afternoon. Tune in at 4:30 PM via Facebook Live!,0.0,0.0,False,False,False
"As we approach a 30-day lockdown, KSD3 needs to look ahead to the future. I'm running for US Congress to unseat Sharice Davids, otherwise known as AOC-KC. Yes, Alexandria Ocasio-Cortez is right here in Kansas City. Sharice Davids is a socialist and a vote for impeachment. She will do exactly what Nancy Pelosi tells her to do. Can we stand another 4 years of this senseless ploy to impeach President Trump? I’ve had enough. We need a change in the 3rd District. 

I’ve lived in this district for 25 years. I know the people of Kansas City. I’m willing to make the hard decisions that need to be made. As a proven and successful businessman, I will work tirelessly to bring more economic growth to this district -- for everyone. The ripple effect will be huge. Infrastructure, Innovation, and Inclusion. I have a vision for the future. Please support Mike Beehler for Congress - “An equal opportunity for the American Dream.” Thanks for watching!",0.0,1.0,False,True,True
"When asked about running against me in November, Sean Casten said “Given her views, it’s going to be ugly.” I wonder what exactly Sean finds ugly about my beliefs? That my fight against corruption and government overspending are wrong? 
#AllIn4Ives",0.0,0.0,False,False,False
"Senator Brandon Beach announced Wednesday evening that he had been informed by his doctor that he tested positive for COVID-19 on. Beach immediately informed his colleagues and followed all guidelines set forth by Governor Kemp, the CDC, and other health officials. Unfortunately, some have decided to misrepresent the facts in a blatant and ugly effort to cause political harm to Senator Beach.

Certain individuals with their own political agenda have misrepresented the timeline of events and the facts about the health of Senator Beach leading up to the diagnosis.

Beach said: “Here are the facts: on Saturday, March 14th, I was cleared by my doctor to resume my official duties and presented with no reason to believe I had COVID-19 or any other serious illness. I followed the advice of my doctor that did not include actions such as quarantine related to the treatment of COVID-19. It is disappointing that some have chosen to misrepresent and manipulate the facts regarding private conversations I had with my doctor. It is outrageous and cowardly to allege that I would intentionally put my colleagues, friends, staff, and family at risk of contracting this virus.”

He continued: “In a time of crisis, some choose to make false accusations and spread untruths. But it is wrong and harmful to make assumptions about an individual’s health or medical conditions before knowing all the facts.”.

Beach reported that he went to a doctor on Saturday for complications from a preexisting condition he regularly suffers from. Beach was prescribed a standard course of antibiotics which is not a treatment for COVID-19, and he was cleared to continue the duties of his office. Beach was then surprised to learn on Wednesday that he tested positive for coronavirus and immediately took all necessary precautions, informing everyone he had been in contact with. Senator Beach is now at home and will undergo a self-quarantine.",0.0,0.0,False,False,False
"Sign the petition to show support for President Trump's response to the coronavirus. From the beginning of this outbreak President Trump has shown bold leadership. First by quickly banning travel from China, then by rolling back regulations that were holding back our response, and most recently by taking steps to help families and businesses overcome the economic impact of this virus.",0.0,0.0,False,False,False
"My name is Mike Beehler and I'm running for Congressional District KS - 03. I have lived in KC for 25 years and love my home. I'm committed to restoring our American values back to the 3rd district. Please join me in this effort!
Paid political advertisement paid for and approved by the committee to Elect Mike Beehler",0.0,0.0,False,False,False
I want to know what YOU think my top priorities should be as we fight to win and get results in KS-03. Let me know what you think here.,0.0,0.0,False,False,False
"University of Chicago student, Evita Duffy was photographed with a whiteboard on which she wrote, “I vote because the coronavirus won’t destroy America, but socialism will. She received threats and personal attacks, just for declaring that she was a conservative on a college campus.

Please make a donation today to stop this kind of hatred from the radical left.
#AllIn4Ives",1.0,0.0,True,False,True
"The Left uses threats and insults to direct attention away from their assaults on our freedoms and
free enterprise system.

If Evita Duffy can stand up, so can we. Stand with Evita and Jeanne against Sean Casten, Nancy Pelosi and the viciousness of the radical Left.
#AllIn4Ives",0.0,1.0,False,True,True
"University of Chicago student, Evita Duffy was photographed with a whiteboard on which she wrote, “I vote because the coronavirus won’t destroy America, but socialism will. She received threats and personal attacks, just for declaring that she was a conservative on a college campus.

Please sign up today to stop this kind of hatred from the radical left.

#AllIn4Ives",0.0,1.0,False,True,True
"The Left uses threats and insults to direct attention away from their assaults on our freedoms and
free enterprise system.

If Evita Duffy can stand up, so can we. Stand with Evita and Jeanne against Sean Casten, Nancy Pelosi and the viciousness of the radical Left.

#AllIn4Ives",0.0,1.0,False,True,True
Our campaign rally was a huge success. Thanks to everyone who showed up! We are All In for 2020!,0.0,0.0,False,False,False
"We’re just days away from the Illinois primary. We’ve fought hard every step of the way and we’ve united our Republican Party around our campaign against Sean Casten. On Tuesday, polls open at 6 am and close at 7 pm, remember to get out and vote! 
#AllIn4Ives",0.0,0.0,False,False,False
"Early voting is available Saturday and Monday. Find early voting location here: https://www.elections.il.gov/ 
 #VoteEsther",0.0,0.0,False,False,False
Outrageous overreach by bureaucrats.  Hell No.,0.0,0.0,False,False,False
"Bernie’s pie in the sky ideas would cost our country over $50 trillion dollars. Sean Casten would be a rubber stamp for his radical agenda, and they’ll raise our taxes and explode our national debt if they get their way.
#AllIn4Ives",0.0,1.0,False,True,True
"Conservatives are being threatened for sharing their beliefs on college campuses. And Sean Casten embraces this kind of hatred by the radical left. But if brave students can stand up against them, then so can we. 
#AllIn4Ives",0.0,1.0,False,True,True
